[2026-03-31 17:45:44] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS
[2026-03-31 18:38:48] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS
[2026-03-31 18:54:55] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 18:57:03] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 19:10:45] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 19:14:33] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 19:15:03] IP: 10.30.30.23     | User: okura-it        | Status: FAILED - Wrong Password
[2026-03-31 19:15:12] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 19:21:13] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 19:25:23] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 19:25:53] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 19:42:34] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 19:42:46] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 19:43:45] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 19:55:20] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 19:56:43] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 20:08:58] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 20:09:37] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 20:19:49] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 20:20:59] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (Client)
[2026-03-31 20:55:26] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (End-User)
[2026-03-31 20:55:39] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 20:57:11] IP: 10.30.30.23     | User: marc.garcia     | Status: SUCCESS (IT)
[2026-03-31 21:04:17] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 21:16:46] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 21:17:29] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (End-User)
[2026-03-31 21:31:50] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-03-31 21:32:23] IP: 10.30.30.23     | User: marc.garcia     | Status: SUCCESS (IT)
[2026-03-31 21:32:47] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-04-01 12:30:33] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-04-01 12:30:48] IP: 10.30.30.23     | User: okura-it        | Status: FAILED - Wrong Password
[2026-04-01 12:30:54] IP: 10.30.30.23     | User: okura-it        | Status: SUCCESS (End-User)
[2026-04-01 12:34:26] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-04-01 12:34:50] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-04-01 13:45:35] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-04-01 14:42:16] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
[2026-04-01 15:38:44] IP: 10.30.30.23     | User: dani.renegado   | Status: SUCCESS (IT)
